Tarih;Acilis;Kapanis
22 Nisan 2022;922.55;915.67
23 Nisan 2022;0;915.67
24 Nisan 2022;0;915.67
25 Nisan 2022;901.79;901.21
26 Nisan 2022;906.36;906.79
27 Nisan 2022;897.75;898.06
28 Nisan 2022;900.46;901.02
29 Nisan 2022;900.46;905.75
30 Nisan 2022;0;905.75
1 Mayýs 2022;0;905.75
2 Mayýs 2022;891.19;891.33
3 Mayýs 2022;889.95;888.96
4 Mayýs 2022;890.03;891.32
5 Mayýs 2022;897.24;897.01
6 Mayýs 2022;897.24;905.21
7 Mayýs 2022;897.24;905.21
8 Mayýs 2022;897.24;905.21
9 Mayýs 2022;899.28;899.43
10 Mayýs 2022;902.5;901.27
11 Mayýs 2022;911.86;911.4
12 Mayýs 2022;899.62;899.52
13 Mayýs 2022;899.62;901.95
14 Mayýs 2022;899.62;901.82
15 Mayýs 2022;0;901.82
16 Mayýs 2022;902.35;912.12
17 Mayýs 2022;928.43;928.25
18 Mayýs 2022;930.67;930.17
19 Mayýs 2022;940.6;940.6
20 Mayýs 2022;940.6;944.01
21 Mayýs 2022;940.6;942.56
22 Mayýs 2022;940.6;942.56
23 Mayýs 2022;948.82;949.49
24 Mayýs 2022;966.23;965.67
25 Mayýs 2022;974.88;975.14
26 Mayýs 2022;972.64;972.28
27 Mayýs 2022;972.64;965.07
28 Mayýs 2022;972.64;965.28
29 Mayýs 2022;0;965.28
30 Mayýs 2022;977.94;977.57
31 Mayýs 2022;969.42;969.2
1 Haziran 2022;973.26;973.35
2 Haziran 2022;989.01;989.05
3 Haziran 2022;989.01;977.28
4 Haziran 2022;989.01;977.2
6 Haziran 2022;980.79;981.43
7 Haziran 2022;997.88;997.97
8 Haziran 2022;1.021.04;1.021.09
9 Haziran 2022;1.019.81;1.017.93
10 Haziran 2022;1.019.81;1.030.70
11 Haziran 2022;1.019.81;1.029.96
12 Haziran 2022;0;1.029.96
13 Haziran 2022;1.009.57;1.008.99
14 Haziran 2022;1.004.00;1.003.64
15 Haziran 2022;1.015.88;1.016.50
16 Haziran 2022;1.032.99;1.032.88
17 Haziran 2022;1.032.99;1.023.92
18 Haziran 2022;1.032.99;1.024.88
19 Haziran 2022;1.032.99;1.024.88
20 Haziran 2022;1.024.65;1.024.09
21 Haziran 2022;1.021.33;1.021.80
22 Haziran 2022;1.023.67;1.024.59
23 Haziran 2022;1.015.83;1.016.79
24 Haziran 2022;1.015.83;992.34
25 Haziran 2022;1.015.83;992.1
26 Haziran 2022;0;992.1
27 Haziran 2022;968.08;970.11
28 Haziran 2022;975.6;975.47
29 Haziran 2022;972.92;972.94
30 Haziran 2022;969.92;969.97
1 Temmuz 2022;969.92;974.65
2 Temmuz 2022;969.92;976.05
3 Temmuz 2022;0;976.05
4 Temmuz 2022;977.79;978.05
5 Temmuz 2022;962.54;964.12
6 Temmuz 2022;962.76;963.24
7 Temmuz 2022;965.24;966.29
8 Temmuz 2022;965.24;968.72
9 Temmuz 2022;965.24;967.98
10 Temmuz 2022;965.24;967.98
11 Temmuz 2022;967.99;967.65
12 Temmuz 2022;960.08;959.65
13 Temmuz 2022;970.97;971.26
14 Temmuz 2022;958.84;958.76
15 Temmuz 2022;958.84;955.58
16 Temmuz 2022;958.84;955.87
17 Temmuz 2022;958.84;955.87
18 Temmuz 2022;959.6;958.6
19 Temmuz 2022;965.71;965.88
20 Temmuz 2022;960.23;960.47
21 Temmuz 2022;979.09;979.04
22 Temmuz 2022;979.09;985.23
23 Temmuz 2022;979.09;984.99
24 Temmuz 2022;0;984.99
25 Temmuz 2022;983.33;984.19
26 Temmuz 2022;985.87;985.67
27 Temmuz 2022;997.32;997.35
28 Temmuz 2022;1.012.91;1.011.59
29 Temmuz 2022;1.012.91;1.017.21
30 Temmuz 2022;1.012.91;1.017.60
31 Temmuz 2022;0;1.017.60
1 Ađustos 2022;1.019.85;1.019.37
2 Ađustos 2022;1.016.22;1.015.94
3 Ađustos 2022;1.017.95;1.017.82
4 Ađustos 2022;1.031.05;1.032.38
5 Ađustos 2022;1.031.05;1.022.52
6 Ađustos 2022;1.031.05;1.022.97
8 Ađustos 2022;1.031.25;1.031.60
9 Ađustos 2022;1.033.56;1.034.13
10 Ađustos 2022;1.030.26;1.029.78
11 Ađustos 2022;1.032.51;1.032.97
12 Ađustos 2022;1.032.51;1.039.36
13 Ađustos 2022;1.032.51;1.039.38
14 Ađustos 2022;1.032.51;1.039.38
15 Ađustos 2022;1.027.96;1.027.95
16 Ađustos 2022;1.022.93;1.023.76
17 Ađustos 2022;1.017.02;1.016.90
18 Ađustos 2022;1.021.48;1.021.55
19 Ađustos 2022;1.021.48;1.016.25
20 Ađustos 2022;1.021.48;1.016.26
21 Ađustos 2022;1.021.48;1.016.26
22 Ađustos 2022;1.007.60;1.008.64
23 Ađustos 2022;1.017.78;1.017.64
24 Ađustos 2022;1.021.61;1.021.51
25 Ađustos 2022;1.027.15;1.027.20
26 Ađustos 2022;1.027.15;1.015.86
27 Ađustos 2022;1.027.15;1.015.90
