Tarih;Acilis;Kapanis
28 Ekim 2025;5.361.49;5.327.87
29 Ekim 2025;5.328.52;5.300.25
30 Ekim 2025;5.299.88;5.430.45
31 Ekim 2025;5.431.44;5.412.39
3 Kasým 2025;5.412.18;5.422.04
4 Kasým 2025;5.420.60;5.330.47
5 Kasým 2025;5.330.54;5.392.12
6 Kasým 2025;5.392.11;5.389.70
7 Kasým 2025;5.389.18;5.434.09
10 Kasým 2025;5.432.26;5.583.18
11 Kasým 2025;5.583.40;5.606.29
12 Kasým 2025;5.606.32;5.698.19
13 Kasým 2025;5.697.11;5.656.47
14 Kasým 2025;5.656.28;5.551.47
17 Kasým 2025;5.550.31;5.496.24
18 Kasým 2025;5.497.21;5.538.52
19 Kasým 2025;5.538.88;5.550.69
20 Kasým 2025;5.551.01;5.553.67
21 Kasým 2025;5.553.79;5.552.10
24 Kasým 2025;5.552.52;5.636.99
25 Kasým 2025;5.636.27;5.635.23
26 Kasým 2025;5.635.63;5.682.50
27 Kasým 2025;5.682.55;5.675.48
28 Kasým 2025;5.675.48;5.763.55
1 Aralýk 2025;5.764.63;5.781.31
2 Aralýk 2025;5.781.25;5.745.87
3 Aralýk 2025;5.745.21;5.740.46
4 Aralýk 2025;5.740.34;5.753.00
5 Aralýk 2025;5.753.02;5.746.23
8 Aralýk 2025;5.742.32;5.736.97
9 Aralýk 2025;5.737.24;5.768.24
10 Aralýk 2025;5.767.61;5.793.26
11 Aralýk 2025;5.793.23;5.856.86
12 Aralýk 2025;5.856.87;5.902.25
15 Aralýk 2025;5.902.95;5.909.27
16 Aralýk 2025;5.909.60;5.909.09
17 Aralýk 2025;5.909.60;5.963.43
18 Aralýk 2025;5.963.41;5.955.57
19 Aralýk 2025;5.954.46;5.972.23
22 Aralýk 2025;5.971.40;6.110.33
23 Aralýk 2025;0;6.192.84
24 Aralýk 2025;6.192.72;6.170.59
25 Aralýk 2025;6.171.22;6.170.88
26 Aralýk 2025;6.170.88;6.250.52
29 Aralýk 2025;6.249.34;5.982.56
30 Aralýk 2025;5.982.95;5.992.28
31 Aralýk 2025;5.993.40;5.953.31
1 Ocak 2026;5.953.18;5.966.21
2 Ocak 2026;5.966.21;5.991.88
5 Ocak 2026;5.993.00;6.147.49
6 Ocak 2026;6.147.86;6.217.38
7 Ocak 2026;6.217.13;6.159.22
8 Ocak 2026;6.159.09;6.194.83
9 Ocak 2026;0;6.251.35
12 Ocak 2026;6.251.43;6.367.50
13 Ocak 2026;6.367.69;6.363.38
14 Ocak 2026;6.363.54;6.430.96
15 Ocak 2026;6.431.25;6.394.96
16 Ocak 2026;6.394.94;6.375.38
19 Ocak 2026;6.385.36;6.496.42
20 Ocak 2026;6.496.39;6.617.30
21 Ocak 2026;0;6.719.15
22 Ocak 2026;6.716.26;6.837.89
23 Ocak 2026;6.837.89;6.945.51
26 Ocak 2026;6.946.56;7.046.50
27 Ocak 2026;7.046.73;7.227.40
28 Ocak 2026;7.224.52;7.502.59
29 Ocak 2026;7.727.13;7.530.65
30 Ocak 2026;7.530.58;6.788.96
2 Ţubat 2026;6.804.04;6.505.95
3 Ţubat 2026;6.510.77;6.908.30
4 Ţubat 2026;6.912.61;6.908.64
5 Ţubat 2026;6.909.95;6.732.52
6 Ţubat 2026;6.735.40;6.943.53
9 Ţubat 2026;6.952.07;7.119.10
10 Ţubat 2026;7.118.31;7.057.71
11 Ţubat 2026;7.056.60;7.138.95
12 Ţubat 2026;7.136.68;6.899.16
13 Ţubat 2026;6.898.15;7.075.98
16 Ţubat 2026;7.072.24;7.015.72
17 Ţubat 2026;7.015.69;6.858.06
18 Ţubat 2026;6.858.12;7.012.47
19 Ţubat 2026;7.013.99;7.037.44
20 Ţubat 2026;7.037.71;7.183.04
23 Ţubat 2026;7.187.69;7.380.25
24 Ţubat 2026;7.380.19;7.280.17
25 Ţubat 2026;7.279.55;7.266.74
26 Ţubat 2026;7.267.19;7.332.73
27 Ţubat 2026;7.333.50;7.435.91
2 Mart 2026;7.433.63;7.535.65
3 Mart 2026;7.537.18;7.208.20
4 Mart 2026;7.203.33;7.258.69
5 Mart 2026;7.257.78;7.181.99
6 Mart 2026;7.257.78;7.301.96
9 Mart 2026;7.314.94;7.276.39
10 Mart 2026;7.276.42;7.355.56
11 Mart 2026;7.353.76;7.336.37
12 Mart 2026;7.337.18;7.206.33
13 Mart 2026;7.206.36;7.136.03
16 Mart 2026;7.138.16;7.109.17
17 Mart 2026;7.109.48;7.113.06
18 Mart 2026;7.114.38;6.849.31
19 Mart 2026;6.853.31;6.621.92
20 Mart 2026;6.623.20;6.406.80
23 Mart 2026;6.406.40;6.277.88
24 Mart 2026;6.279.20;6.377.14
25 Mart 2026;6.376.09;6.425.38
26 Mart 2026;6.423.57;6.243.80
27 Mart 2026;6.247.36;6.418.21
